Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,KM [CH2],KMD [CH2],NKM [CH2],I,H/C,N/C,O/C,O/N,S/C,rdb
115.148112,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,586261,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
,1,C8H19,100,115.148127,0.1,0.1,n.a.,0,even,ok,115.019537,-0.019537,115,,2.375,0,0,0,0,0
141.163742,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,7982980,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
,1,C10H21,100,141.163777,0.2,0.2,21.8,1,even,ok,141.006117,-0.006117,141,,2.1,0,0,0,0,1
142.171555,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,1461947,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
,1,C10H22,100,142.171602,0.3,0.2,n.a.,0.5,odd,ok,142.012805,-0.012805,142,,2.2,0,0,0,0,0.5
143.179369,1,C10H23,100,143.179427,0.4,0.2,n.a.,0,even,ok,143.019494,-0.019494,143,479807,2.3,0,0,0,0,0
