Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,H/C,KM [CH2],KMD [CH2],I,N/C,NKM [CH2],O/C,O/N,S/C
141.163755,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,2042084,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
,1,C10H21,100,141.163777,0.2,0.1,n.a.,1,even,ok,2.1,141.006131,-0.006131,,0,141,0,0,0
142.171583,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,2433497,0,142,0,0,0
,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,,0,142,0,0,0
,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,,0,142,0,0,0
,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,,0,142,0,0,0
,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,,0,142,0,0,0
,1,C10H22,100,142.171602,0.1,0.1,n.a.,0.5,odd,ok,2.2,142.012833,-0.012833,,0,142,0,0,0
143.179438,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,640546,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
,1,C10H23,100,143.179427,-0.1,0,n.a.,0,even,ok,2.3,143.019563,-0.019563,,0,143,0,0,0
149.117199,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,958600,0,149,0.429,0,0
,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,,0,149,0.429,0,0
,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,,0,149,0.429,0,0
,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,,0,149,0.429,0,0
,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,,0,149,0.429,0,0
,1,C7H17O3,100,149.117221,0.1,0.1,n.a.,0,even,ok,2.429,148.950694,0.049306,,0,149,0.429,0,0
152.155916,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,1142320,0,152,0,0,0
,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,,0,152,0,0,0
,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,,0,152,0,0,0
,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,,0,152,0,0,0
,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,,0,152,0,0,0
,1,C11H20,100,152.155952,0.2,0.1,n.a.,2.5,odd,ok,1.818,151.986017,0.013983,,0,152,0,0,0
153.163741,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,1406276,0,153,0,0,0
,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,,0,153,0,0,0
,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,,0,153,0,0,0
,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,,0,153,0,0,0
,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,,0,153,0,0,0
,1,C11H21,100,153.163777,0.2,0.1,n.a.,2,even,ok,1.909,152.992717,0.007283,,0,153,0,0,0
154.171607,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,1056770,0,154,0,0,0
,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,,0,154,0,0,0
,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,,0,154,0,0,0
,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,,0,154,0,0,0
,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,,0,154,0,0,0
,1,C11H22,100,154.171602,0,0,n.a.,1.5,odd,ok,2,153.999458,0.000542,,0,154,0,0,0
155.179426,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,13348943,0,155,0,0,0
,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,,0,155,0,0,0
,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,,0,155,0,0,0
,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,,0,155,0,0,0
,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,,0,155,0,0,0
,1,C11H23,100,155.179427,0,0,12.4,1,even,ok,2.091,155.006151,-0.006151,,0,155,0,0,0
156.187229,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,17884712,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
157.195081,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,3063304,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
158.190323,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,420208,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
159.174338,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,541572,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
